Token            Lexeme

Keyword               do
Separator            {
Keyword               if
Separator            (
Identifier          fahr
Operator             < 
Identifier         upper
Separator            )
Separator            {
Keyword               do
Identifier             a
Operator             :=
Real               23.00
Separator            ;
Separator            }
Keyword             else
Separator            {
Keyword             read
Separator            (
Identifier         upper
Separator            )
Separator            ;
Separator            }
Separator            }
Keyword            while
Separator            (
Identifier           foo
Operator             < 
Identifier          fahr
Separator            )
Separator            ;
Keyword         function
Identifier       convert
Separator            (
Identifier          fahr
Separator            )
Keyword            begin
Keyword           return
Real                 5.5
Operator             *
Separator            (
Identifier          fahr
Operator             -
Real                32.1
Separator            )
Operator             /
Integer                9
Separator            ;
